xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
196.1298828125,88.74121093749999,290.9619140625,112.44921875000004,NOTICE,not_relevant,OF,1.07763671875,1,OR,119.61767578125,30,1.07763671875,-1.0
284.49609375,88.74121093749999,329.7568359375,114.60449218750004,OF,not_relevant,must,67.89111328124999,180,OR,56.037109375,30,-1.0,-1.0
325.4462890625,86.58593749999999,467.6943359375,112.44921875000004,INFRACTION.,not_relevant,OF,2.1552734375,1,YOU,101.2978515625,3,-1.0,-1.0
467.6943359375,84.43066406249997,528.0419921875,108.138671875,YOU,not_relevant,INFRACTION.,3.2329101562500284,2,MUST,58.1923828125,4,3.2329101562500284,-1.0
519.4208984375,84.43066406249997,592.7001953125,108.138671875,MUST,not_relevant,THE,20.47509765625003,34,DATE,76.51220703125,35,20.47509765625003,-1.0
590.544921875,84.43066406249997,706.9296875,108.138671875,RESPOND,not_relevant,THE,20.47509765625003,34,30,72.20166015625,6,20.47509765625003,-1.0
702.619140625,82.27539062499996,739.2587890625,110.2939453125,30,not_relevant,RESPOND,1.4210854715202004e-14,5,IS,98.06494140625,38,1.4210854715202004e-14,-1.0
732.79296875,84.43066406249997,806.072265625,108.138671875,DAYS,not_relevant,NOTICE,20.47509765625003,37,FROM,68.96875,8,20.47509765625003,-1.0
799.6064453125,84.43066406249997,877.1962890625,108.138671875,FROM,not_relevant,THE,1.07763671875,9,DATE,116.384765625,10,1.07763671875,-1.0
870.73046875,84.43066406249997,924.6123046875,110.2939453125,THE,not_relevant,MAILED.,19.39746093750003,39,DATE,57.11474609375,10,19.39746093750003,57.11474609375
920.3017578125,84.43066406249997,989.2705078125,110.2939453125,DATE,not_relevant,ISSUED,1.0776367187500142,11,Pay.,197.20751953125,12,1.0776367187500142,-1.0
984.9599609375,86.58593749999999,1077.63671875,110.2939453125,ISSUED,not_relevant,do,71.1240234375,195,Pay.,120.6953125,12,71.1240234375,120.6953125
1129.36328125,88.74121093749999,1174.6240234375,114.60449218750004,Pay.,not_relevant,driving,15.0869140625,58,thave,46.33837890625,13,15.0869140625,-1.0
1168.158203125,88.74121093749999,1228.505859375,112.44921875000004,thave,not_relevant,Pay.,1.07763671875,12,endosed,60.34765625,14,1.07763671875,-1.0
1217.7294921875,86.58593749999999,1299.6298828125,112.44921875000004,endosed,not_relevant,thave,1.07763671875,13,a,44.18310546875,15,1.07763671875,-1.0
